id	value
"FAKE	234
WENT	233
JOIN	233
CHECK	233
BASED	233
PRIME	232
PRESIDENT,	232
ALLOW	232
@POLITICO:	232
WORDS.	231
REMARK	231
PRIVATE	231
LISTEN	231
DESPITE	231
BLASTS	231
“TRUTH."	230
SUECIA	230
RUSH	230
NOW.	230
FOSSIL	230
😂	229
WORD	229
OFFICER	229
HTTPS://T.CO/XOHBU3IXS7	229
@SENJOHNMCCAIN	229
TRUMP-RUSSIA	228
SHIT	228
MCCONNELL	228
LT.	228
ACCORDING	228
#RUSSIA	228
RAND	227
QUESTIONS	227
POLL:	227
PM	227
PLAY	227
GAVE	227
FOLKS	227
COAL	227
SAD	226
OBAMAS	226
CHECK:	226
DEMAND	225
SECRETARY	224
HELL	224
COMO	224
@VP	224
NAME	223
FIRED!	223
AIDE	223
@JOYANNREID:	223
MOVE	222
MONTHS	222
FEDERAL	222
DOLLARS	222
COVER	222
COUNTRY.	222
BOTH	222
50%	222
WHO'S	221
TURNS	221
NEARLY	221
MAN.	221
INFO	221
GLOBAL	221
RUN	220
PROBABLY	220
FRIEND	220
STREAM	219
NOW?	219
RECENT	218
POLL	218
TOTAL	217
S…	217
NYT	217
NEEDED	217
DEFENDS	217
KIDS	216
GIVEN	216
ATTACKED	216
SANCTIONS	215
OIL	215
MEANS	215
CROWDS	215
