id	value
PerZunilda	6
PaysonMelissa	6
PaulHanley12	6
PatrickArnold77	6
Paratisi	6
Pandorabalks	6
POCOLOCOBOO	6
PA4TAXPAYERS	6
Outlandt	6
Nvehecnycrrcom1	6
NoNoNotNormal	6
NewsView100	6
NewsReports2	6
NJTrumpWarrior	6
MyPlace4U	6
MsRotti	6
MrsPerrin	6
MrsESK	6
MooiachiRios	6
Mmarty1230	6
MiriamRoseMc	6
Michell34931496	6
Michell16942714	6
MiamiPapers	6
MelvinLee515	6
Megaera17	6
Me262A1	6
MaxSkyler1	6
MaryQueenfspots	6
MaggieMcglothin	6
MagaforTrump10	6
LynetteNazario	6
LyndaG1963	6
LuvPrayWorkSing	6
LuigiBarbero	6
Liverpotlian	6
LiberalLab	6
LeslieLee327	6
Leeannlang6	6
Lara5124	6
LBL_Two	6
L2610	6
KrankyKloe	6
KovacsBeverly	6
KottiPillar	6
KnowYourLeak17	6
Kimberly_DP_	6
KimberleeHicks3	6
KgKathryn	6
Kelly6358633	6
Katie_MEGA_2017	6
Katcontinental	6
JustWhatNowWhy	6
June4Wanda	6
JulieGrey13	6
Judy_MAGA_	6
JudyWoods8	6
JonUPS_	6
JoinerMari	6
JohnGab69864771	6
JohnCzer1	6
John47070623	6
JoanneTarpon07	6
JoanPitre	6
Jim_Peoples_	6
JenniferNail3	6
Jean_ie	6
Jaybezo	6
JajsaArthur	6
JackiMGittos	6
JDowFamily	6
JD67535416	6
IreneDifJen	6
InvestNCannabis	6
IncognitoPatrio	6
I_LoveAmerican	6
Honeyschil	6
HernanPorrasM	6
HenryBLowery	6
Headerop1	6
GregScheinert	6
GiannaJax	6
FunnygirlLee	6
FjmunoMunoz	6
FaithFortune99	6
FUNNAGAN	6
ExposeLiesToYou	6
EnarDavis1	6
Elimelech_Ring	6
EddieQueener	6
EdDarrell	6
EagleStarNET	6
EP_VEN_Noticias	6
EJLandwehr	6
DumpMSM	6
DreeProvince	6
DonnaThorson	6
Dollfinish	6
Dogmommaz3	6
DiplomSage	6
DianaFry18	6
Deplorable_Ed	6
Denise7Berry	6
DebbieGT18	6
Dazie13	6
DTrumplican	6
DPMcCallum	6
CourtofLawbleed	6
Conservatexian	6
CherylShuman	6
CherylB73693634	6
CarolynMorelan5	6
CarolCcbossy	6
Carmenr1Carmen	6
CardenasElanie	6
CanadiensFan	6
CalderonHenk	6
CORYROZAY	6
Bunnynohare	6
BlgaethGaeth	6
Big_AL_Nakba	6
BeverlyFolkers	6
Betterw05759703	6
BarrakKhan	6
BarneyBlather	6
Barbara40940975	6
Bandislife2004	6
BabyBoom4Trump	6
Aprylsmithts	6
AnneAnnapolis	6
AnnFrost3	6
AngryLogician	6
AngelaKrebs444	6
AngelBear2016	6
AmyRose77253769	6
AmericaVotes16	6
Amberis4LSU	6
Amanda_Tp07	6
AmandaUS_M4G4	6
AmBeautifulShow	6
Alicia46146936	6
AatTimothy	6
5196923980	6
1butterflywild	6
1099rock	6
01greenen	6
zackmomma	5
yessicardila1	5
windmillcharger	5
wildwillow65	5
wildwildwes55	5
wildlifer22	5
whiskey999111	5
wendyweb47	5
weavejenn	5
wcsek	5
watzgoinonhere	5
waterbearer251	5
wandaransom	5
venet_phyllis	5
vamoo60	5
vaculb	5
twohippiebitch	5
trumpy17	5
toombstone	5
tonic516	5
tomwoods55	5
tolag	5
tigertrollz2	5
tia6sc	5
thus_spake	5
thaitvnews	5
teeheeheemcfee	5
tcmwhite_white	5
taylor_marmar	5
taylor____182	5
tate_lc	5
taninthesummer	5
tailsofLA	5
susanattleta	5
supra1Bqteam	5
stumblingstudio	5
studygoddess01	5
stockguy61	5
stetayen	5
starck_jean	5
ssconetwothree1	5
sparkychick3233	5
snw106	5
snowhecmacartne	5
snarkysnowqueen	5
smsg1234	5
smille5884	5
smartvalueblog	5
skilledscribe	5
shoos4u	5
shonnarobinson	5
shellsbg	5
sheila06942158	5
